Date;Grand Prix;GP;Circuit;Pays;Vainqueur;Écurie;Pole Position;Meilleur tour;Position Hamilton;Position Verstappen;Points Hamilton;Points Verstappen;Cumul Hamilton;Cumul Verstappen;Classement Hamilton;Classement Verstappen
28/03/2021;Grand Prix de Bahreïn;Bahreïn;Sakhir;Bahreïn;Lewis Hamilton;Mercedes;Max Verstappen;Valtteri Bottas;1;2;25;18;25;18;1;2
18/04/2021;Grand Prix d'Émilie-Romagne;Émilie-Romagne;Imola;Italie;Max Verstappen;Red Bull-Honda;Lewis Hamilton;Lewis Hamilton;2;1;19;25;44;43;1;2
02/05/2021;Grand Prix du Portugal;Portugal;Portimão;Portugal;Lewis Hamilton;Mercedes;Valtteri Bottas;Valtteri Bottas;1;2;25;18;69;61;1;2
09/05/2021;Grand Prix d'Espagne;Espagne;Barcelone;Espagne;Lewis Hamilton;Mercedes;Lewis Hamilton;Max Verstappen;1;2;25;19;94;80;1;2
23/05/2021;Grand Prix de Monaco;Monaco;Monaco;Monaco;Max Verstappen;Red Bull-Honda;Charles Leclerc;Lewis Hamilton;7;1;7;25;101;105;2;1
06/06/2021;Grand Prix d'Azerbaïdjan;Azerbaïdjan;Bakou;Azerbaïdjan;Sergio Pérez;Red Bull-Honda;Charles Leclerc;Max Verstappen;15;DNF;0;0;101;105;2;1
20/06/2021;Grand Prix de France;France;Le Castellet;France;Max Verstappen;Red Bull-Honda;Max Verstappen;Max Verstappen;2;1;18;26;119;131;2;1
27/06/2021;Grand Prix de Styrie;Styrie;Spielberg;Autriche;Max Verstappen;Red Bull-Honda;Max Verstappen;Lewis Hamilton;2;1;19;25;138;156;2;1
04/07/2021;Grand Prix d'Autriche;Autriche;Spielberg;Autriche;Max Verstappen;Red Bull-Honda;Max Verstappen;Max Verstappen;4;1;12;26;150;182;2;1
18/07/2021;Grand Prix de Grande-Bretagne;Grande-Bretagne;Silverstone;Royaume-Uni;Lewis Hamilton;Mercedes;Max Verstappen;Sergio Pérez;1;DNF;27;3;177;185;2;1
01/08/2021;Grand Prix de Hongrie;Hongrie;Budapest;Hongrie;Esteban Ocon;Alpine-Renault;Lewis Hamilton;Pierre Gasly;2;9;18;2;195;187;1;2
29/08/2021;Grand Prix de Belgique;Belgique;Spa-Francorchamps;Belgique;Max Verstappen;Red Bull-Honda;Max Verstappen;Non attribué;3;1;7.5;12.5;202.5;199.5;1;2
05/09/2021;Grand Prix des Pays-Bas;Pays-Bas;Zandvoort;Pays-Bas;Max Verstappen;Red Bull-Honda;Max Verstappen;Lewis Hamilton;2;1;19;25;221.5;224.5;2;1
12/09/2021;Grand Prix d'Italie;Italie;Monza;Italie;Daniel Ricciardo;McLaren-Mercedes;Max Verstappen;Daniel Ricciardo;DNF;DNF;0;2;221.5;226.5;2;1
26/09/2021;Grand Prix de Russie;Russie;Sotchi;Russie;Lewis Hamilton;Mercedes;Lando Norris;Lando Norris;1;2;25;18;246.5;244.5;1;2
10/10/2021;Grand Prix de Turquie;Turquie;Istanbul;Turquie;Valtteri Bottas;Mercedes;Valtteri Bottas;Valtteri Bottas;5;2;10;18;256.5;262.5;2;1
24/10/2021;Grand Prix des États-Unis;États-Unis;Austin;États-Unis;Max Verstappen;Red Bull-Honda;Max Verstappen;Lewis Hamilton;2;1;19;25;275.5;287.5;2;1
07/11/2021;Grand Prix de Mexico;Mexico;Mexico;Mexique;Max Verstappen;Red Bull-Honda;Valtteri Bottas;Valtteri Bottas;2;1;18;25;293.5;312.5;2;1
14/11/2021;Grand Prix de São Paulo;São Paulo;São Paulo;Brésil;Lewis Hamilton;Mercedes;Valtteri Bottas;Sergio Pérez;1;2;25;20;318.5;332.5;2;1
21/11/2021;Grand Prix du Qatar;Qatar;Losail;Qatar;Lewis Hamilton;Mercedes;Lewis Hamilton;Max Verstappen;1;2;25;19;343.5;351.5;2;1
05/12/2021;Grand Prix d'Arabie saoudite;Arabie saoudite;Djeddah;Arabie saoudite;Lewis Hamilton;Mercedes;Lewis Hamilton;Lewis Hamilton;1;2;26;18;369.5;369.5;1;1
12/12/2021;Grand Prix d'Abou Dabi;Abou Dabi;Yas Marina;Émirats arabes unis;Max Verstappen;Red Bull-Honda;Max Verstappen;Max Verstappen;2;1;18;26;387.5;395.5;2;1
